№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
30	U+1F910	🤐	🤐	🤐	🤐	🤐	🤐	—	🤐	🤐	—	—	—	—	ZIPPER-MOUTH FACE	2015ˣ	emoji	face | mouth | zipper
31	U+1F62F	😯	😯	😯	😯	😯	😯	😯	😯	😯	—	—	—	—	HUSHED FACE	2012ˣ	emoji	face | hushed | stunned | surprised
32	U+1F62A	😪	😪	😪	😪	😪	😪	😪	😪	😪	😪	😪	—	😪	SLEEPY FACE	2010ʲ	emoji	face | sleep
33	U+1F62B	😫	😫	😫	😫	😫	😫	😫	😫	😫	😫	—	—	😫	TIRED FACE	2010ʲ	emoji	face | tired
34	U+1F634	😴	😴	😴	😴	😴	😴	😴	😴	😴	—	—	—	—	SLEEPING FACE	2012ˣ	emoji	face | sleep | zzz
35	U+1F60C	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	RELIEVED FACE	2010ʲ	emoji	face | relieved
36	U+1F913	🤓	🤓	🤓	🤓	🤓	🤓	—	🤓	🤓	—	—	—	—	NERD FACE	2015ˣ	emoji	face | geek | nerd
37	U+1F61B	😛	😛	😛	😛	😛	😛	😛	😛	😛	—	—	—	—	FACE WITH STUCK-OUT TONGUE	2012ˣ	emoji	face | tongue
38	U+1F61C	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
≊ face with stuck-out tongue & winking eye	2010ʲ	emoji	eye | face | joke | tongue | wink
39	U+1F61D	😝	😝	😝	😝	😝	😝	😝	😝	😝	😝	😝	—	—	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
≊ face with stuck-out tongue & closed eyes	2010ʲ	emoji	eye | face | horrible | taste | tongue
40	U+1F924	🤤	🤤	—	🤤	🤤	🤤	—	🤤	🤤	—	—	—	—	DROOLING FACE	2016ˣ	emoji	drooling | face
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
41	U+1F612	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	UNAMUSED FACE	2010ʲ	emoji	face | unamused | unhappy
42	U+1F613	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	FACE WITH COLD SWEAT	2010ʲ	emoji	cold | face | sweat
43	U+1F614	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	PENSIVE FACE	2010ʲ	emoji	dejected | face | pensive
44	U+1F615	😕	😕	😕	😕	😕	😕	😕	😕	😕	😕	—	—	—	CONFUSED FACE	2012ˣ	emoji	confused | face
45	U+1F643	🙃	🙃	🙃	🙃	🙃	🙃	—	🙃	🙃	—	—	—	—	UPSIDE-DOWN FACE	2015ˣ	emoji	face | upside-down
46	U+1F911	🤑	🤑	🤑	🤑	🤑	🤑	—	🤑	🤑	—	—	—	—	MONEY-MOUTH FACE	2015ˣ	emoji	face | money | mouth
47	U+1F632	😲	😲	😲	😲	😲	😲	😲	😲	😲	😲	😲	—	😲	ASTONISHED FACE	2010ʲ	emoji	astonished | face | shocked | totally
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
48	U+2639	☹	☹	☹	☹	☹	☹	—	☹	☹	—	—	—	—	WHITE FROWNING FACE
≊ frowning face	1995ʷ	text*	face | frown
49	U+1F641	🙁	🙁	🙁	🙁	🙁	🙁	—	🙁	🙁	—	—	—	—	SLIGHTLY FROWNING FACE	2014ˣ	emoji	face | frown
50	U+1F616	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	CONFOUNDED FACE	2010ʲ	emoji	confounded | face
51	U+1F61E	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	—	DISAPPOINTED FACE	2010ʲ	emoji	disappointed | face
52	U+1F61F	😟	😟	😟	😟	😟	😟	😟	😟	😟	😟	—	—	—	WORRIED FACE	2012ˣ	emoji	face | worried
53	U+1F624	😤	😤	😤	😤	😤	😤	😤	😤	😤	😤	—	—	😤	FACE WITH LOOK OF TRIUMPH
≊ face with steam from nose	2010ʲ	emoji	face | triumph | won
54	U+1F622	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	CRYING FACE	2010ʲ	emoji	cry | face | sad | tear
55	U+1F62D	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	LOUDLY CRYING FACE	2010ʲ	emoji	cry | face | sad | sob | tear
56	U+1F626	😦	😦	😦	😦	😦	😦	😦	😦	😦	—	—	—	—	FROWNING FACE WITH OPEN MOUTH	2012ˣ	emoji	face | frown | mouth | open
57	U+1F627	😧	😧	😧	😧	😧	😧	😧	😧	😧	—	—	—	—	ANGUISHED FACE	2012ˣ	emoji	anguished | face
58	U+1F628	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	—	😨	FEARFUL FACE	2010ʲ	emoji	face | fear | fearful | scared
59	U+1F629	😩	😩	😩	😩	😩	😩	😩	😩	😩	😩	—	—	😩	WEARY FACE	2010ʲ	emoji	face | tired | weary
60	U+1F62C	😬	😬	😬	😬	😬	😬	😬	😬	😬	—	—	—	—	GRIMACING FACE	2012ˣ	emoji	face | grimace
61	U+1F630	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	—	😰	FACE WITH OPEN MOUTH AND COLD SWEAT
≊ face with open mouth & cold sweat	2010ʲ	emoji	blue | cold | face | mouth | open | rushed | sweat
62	U+1F631	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	FACE SCREAMING IN FEAR	2010ʲ	emoji	face | fear | fearful | munch | scared | scream
63	U+1F633	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	—	😳	FLUSHED FACE	2010ʲ	emoji	dazed | face | flushed
64	U+1F635	😵	😵	😵	😵	😵	😵	😵	😵	😵	😵	—	😵	😵	DIZZY FACE	2010ʲ	emoji	dizzy | face
65	U+1F621	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	POUTING FACE	2010ʲ	emoji	angry | face | mad | pouting | rage | red
66	U+1F620	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	ANGRY FACE	2010ʲ	emoji	angry | face | mad
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
67	U+1F607	😇	😇	😇	😇	😇	😇	😇	😇	😇	—	—	—	—	SMILING FACE WITH HALO	2010ˣ	emoji	angel | face | fairy tale | fantasy | halo | innocent | smile
68	U+1F920	🤠	🤠	—	🤠	🤠	🤠	—	🤠	🤠	—	—	—	—	FACE WITH COWBOY HAT
≊ cowboy hat face	2016ˣ	emoji	cowboy | cowgirl | face | hat
69	U+1F921	🤡	🤡	—	🤡	🤡	🤡	—	🤡	🤡	—	—	—	—	CLOWN FACE	2016ˣ	emoji	clown | face
70	U+1F925	🤥	🤥	—	🤥	🤥	🤥	—	🤥	🤥	—	—	—	—	LYING FACE	2016ˣ	emoji	face | lie | pinocchio
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
71	U+1F637	😷	😷	😷	😷	😷	😷	😷	😷	😷	😷	😷	—	😷	FACE WITH MEDICAL MASK	2010ʲ	emoji	cold | doctor | face | mask | medicine | sick
72	U+1F912	🤒	🤒	🤒	🤒	🤒	🤒	—	🤒	🤒	—	—	—	—	FACE WITH THERMOMETER	2015ˣ	emoji	face | ill | sick | thermometer
73	U+1F915	🤕	🤕	🤕	🤕	🤕	🤕	—	🤕	🤕	—	—	—	—	FACE WITH HEAD-BANDAGE	2015ˣ	emoji	bandage | face | hurt | injury
74	U+1F922	🤢	🤢	—	🤢	🤢	🤢	—	🤢	🤢	—	—	—	—	NAUSEATED FACE	2016ˣ	emoji	face | nauseated | vomit
75	U+1F927	🤧	🤧	—	🤧	🤧	🤧	—	🤧	🤧	—	—	—	—	SNEEZING FACE	2016ˣ	emoji	face | gesundheit | sneeze
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
76	U+1F608	😈	😈	😈	😈	😈	😈	😈	😈	😈	—	—	—	—	SMILING FACE WITH HORNS	2010ˣ	emoji	face | fairy tale | fantasy | horns | smile
77	U+1F47F	👿	👿	👿	👿	👿	👿	👿	👿	👿	👿	👿	—	👿	IMP	2010ʲ	emoji	demon | devil | face | fairy tale | fantasy
78	U+1F479	👹	👹	👹	👹	👹	👹	👹	👹	👹	👹	—	—	👹	JAPANESE OGRE
≊ ogre	2010ʲ	emoji	creature | face | fairy tale | fantasy | japanese | monster
79	U+1F47A	👺	👺	👺	👺	👺	👺	👺	👺	👺	👺	—	—	👺	JAPANESE GOBLIN
≊ goblin	2010ʲ	emoji	creature | face | fairy tale | fantasy | japanese | monster
80	U+1F480	💀	💀	💀	💀	💀	💀	💀	💀	💀	💀	💀	—	💀	SKULL	2010ʲ	emoji	body | death | face | fairy tale | monster
81	U+2620	☠	☠	☠	☠	☠	☠	—	☠	☠	—	—	—	—	SKULL AND CROSSBONES	1995ˣ	text*	body | crossbones | death | face | monster | skull
82	U+1F47B	👻	👻	👻	👻	👻	👻	👻	👻	👻	👻	👻	—	👻	GHOST	2010ʲ	emoji	creature | face | fairy tale | fantasy | monster
83	U+1F47D	👽	👽	👽	👽	👽	👽	👽	👽	👽	👽	👽	—	👽	EXTRATERRESTRIAL ALIEN
≊ alien	2010ʲʷ	emoji	creature | extraterrestrial | face | fairy tale | fantasy | monster | space | ufo
84	U+1F47E	👾	👾	👾	👾	👾	👾	👾	👾	👾	👾	👾	—	👾	ALIEN MONSTER	2010ʲ	emoji	alien | creature | extraterrestrial | face | fairy tale | fantasy | monster | space | ufo
85	U+1F916	🤖	🤖	🤖	🤖	🤖	🤖	—	🤖	🤖	—	—	—	—	ROBOT FACE	2015ˣ	emoji	face | monster | robot
86	U+1F4A9	💩	💩	💩	💩	💩	💩	💩	💩	💩	💩	💩	—	💩	PILE OF POO	2010ʲ	emoji	comic | dung | face | monster | poo | poop
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
87	U+1F63A	😺	😺	😺	😺	😺	😺	😺	😺	😺	😺	—	—	😺	SMILING CAT FACE WITH OPEN MOUTH	2010ʲ	emoji	cat | face | mouth | open | smile
88	U+1F638	😸	😸	😸	😸	😸	😸	😸	😸	😸	😸	—	—	😸	GRINNING CAT FACE WITH SMILING EYES	2010ʲ	emoji	cat | eye | face | grin | smile
89	U+1F639	😹	😹	😹	😹	😹	😹	😹	😹	😹	😹	—	—	😹	CAT FACE WITH TEARS OF JOY	2010ʲ	emoji	cat | face | joy | tear
90	U+1F63B	😻	😻	😻	😻	😻	😻	😻	😻	😻	😻	—	—	😻	SMILING CAT FACE WITH HEART-SHAPED EYES
≊ smiling cat face with heart-eyes	2010ʲ	emoji	cat | eye | face | heart | love | smile
91	U+1F63C	😼	😼	😼	😼	😼	😼	😼	😼	😼	😼	—	—	😼	CAT FACE WITH WRY SMILE	2010ʲ	emoji	cat | face | ironic | smile | wry
92	U+1F63D	😽	😽	😽	😽	😽	😽	😽	😽	😽	😽	—	—	😽	KISSING CAT FACE WITH CLOSED EYES	2010ʲ	emoji	cat | eye | face | kiss
93	U+1F640	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	—	—	🙀	WEARY CAT FACE	2010ʲ	emoji	cat | face | oh | surprised | weary
94	U+1F63F	😿	😿	😿	😿	😿	😿	😿	😿	😿	😿	—	—	😿	CRYING CAT FACE	2010ʲ	emoji	cat | cry | face | sad | tear
95	U+1F63E	😾	😾	😾	😾	😾	😾	😾	😾	😾	😾	—	—	😾	POUTING CAT FACE	2010ʲ	emoji	cat | face | pouting
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
96	U+1F648	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	—	—	🙈	SEE-NO-EVIL MONKEY
≊ see-no-evil	2010ʲ	emoji	evil | face | forbidden | gesture | monkey | no | not | prohibited | see
97	U+1F649	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	—	—	🙉	HEAR-NO-EVIL MONKEY
≊ hear-no-evil	2010ʲ	emoji	evil | face | forbidden | gesture | hear | monkey | no | not | prohibited
98	U+1F64A	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	—	—	🙊	SPEAK-NO-EVIL MONKEY
≊ speak-no-evil	2010ʲ	emoji	evil | face | forbidden | gesture | monkey | no | not | prohibited | speak
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
99	U+1F466	👦	👦	👦	👦	👦	👦	👦	👦	👦	👦	👦	—	—	BOY	2010ʲ	emoji	boy | male
100	U+1F466 U+1F3FB	👦🏻	—	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	—	—	—	—	boy, type-1-2	2015ˣ	n/a	boy | male | type-1-2
101	U+1F466 U+1F3FC	👦🏼	—	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	—	—	—	—	boy, type-3	2015ˣ	n/a	boy | male | type-3
102	U+1F466 U+1F3FD	👦🏽	—	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	—	—	—	—	boy, type-4	2015ˣ	n/a	boy | male | type-4
103	U+1F466 U+1F3FE	👦🏾	—	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	—	—	—	—	boy, type-5	2015ˣ	n/a	boy | male | type-5
104	U+1F466 U+1F3FF	👦🏿	—	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	—	—	—	—	boy, type-6	2015ˣ	n/a	boy | male | type-6
105	U+1F467	👧	👧	👧	👧	👧	👧	👧	👧	👧	👧	👧	—	—	GIRL	2010ʲ	emoji	female | maiden | virgin | virgo | zodiac
106	U+1F467 U+1F3FB	👧🏻	—	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	—	—	—	—	girl, type-1-2	2015ˣ	n/a	female | maiden | type-1-2 | virgin | virgo | zodiac
107	U+1F467 U+1F3FC	👧🏼	—	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	—	—	—	—	girl, type-3	2015ˣ	n/a	female | maiden | type-3 | virgin | virgo | zodiac
108	U+1F467 U+1F3FD	👧🏽	—	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	—	—	—	—	girl, type-4	2015ˣ	n/a	female | maiden | type-4 | virgin | virgo | zodiac
109	U+1F467 U+1F3FE	👧🏾	—	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	—	—	—	—	girl, type-5	2015ˣ	n/a	female | maiden | type-5 | virgin | virgo | zodiac
110	U+1F467 U+1F3FF	👧🏿	—	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	—	—	—	—	girl, type-6	2015ˣ	n/a	female | maiden | type-6 | virgin | virgo | zodiac
111	U+1F468	👨	👨	👨	👨	👨	👨	👨	👨	👨	👨	👨	—	👨	MAN	2010ʲ	emoji	male | man
112	U+1F468 U+1F3FB	👨🏻	—	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	—	—	—	—	man, type-1-2	2015ˣ	n/a	male | man | type-1-2
113	U+1F468 U+1F3FC	👨🏼	—	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	—	—	—	—	man, type-3	2015ˣ	n/a	male | man | type-3
114	U+1F468 U+1F3FD	👨🏽	—	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	—	—	—	—	man, type-4	2015ˣ	n/a	male | man | type-4
115	U+1F468 U+1F3FE	👨🏾	—	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	—	—	—	—	man, type-5	2015ˣ	n/a	male | man | type-5
116	U+1F468 U+1F3FF	👨🏿	—	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	—	—	—	—	man, type-6	2015ˣ	n/a	male | man | type-6
117	U+1F469	👩	👩	👩	👩	👩	👩	👩	👩	👩	👩	👩	—	👩	WOMAN	2010ʲ	emoji	female | woman
118	U+1F469 U+1F3FB	👩🏻	—	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	—	—	—	—	woman, type-1-2	2015ˣ	n/a	female | type-1-2 | woman
№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
119	U+1F469 U+1F3FC	👩🏼	—	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	—	—	—	—	woman, type-3	2015ˣ	n/a	female | type-3 | woman
120	U+1F469 U+1F3FD	👩🏽	—	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	—	—	—	—	woman, type-4	2015ˣ	n/a	female | type-4 | woman
121	U+1F469 U+1F3FE	👩🏾	—	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	—	—	—	—	woman, type-5	2015ˣ	n/a	female | type-5 | woman
122	U+1F469 U+1F3FF	👩🏿	—	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	—	—	—	—	woman, type-6	2015ˣ	n/a	female | type-6 | woman
123	U+1F474	👴	👴	👴	👴	👴	👴	👴	👴	👴	👴	👴	—	👴	OLDER MAN
≊ old man	2010ʲ	emoji	male | man | old
124	U+1F474 U+1F3FB	👴🏻	—	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	—	—	—	—	old man, type-1-2	2015ˣ	n/a	male | man | old | type-1-2
125	U+1F474 U+1F3FC	👴🏼	—	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	—	—	—	—	old man, type-3	2015ˣ	n/a	male | man | old | type-3
126	U+1F474 U+1F3FD	👴🏽	—	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	—	—	—	—	old man, type-4	2015ˣ	n/a	male | man | old | type-4
127	U+1F474 U+1F3FE	👴🏾	—	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	—	—	—	—	old man, type-5	2015ˣ	n/a	male | man | old | type-5
128	U+1F474 U+1F3FF	👴🏿	—	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	—	—	—	—	old man, type-6	2015ˣ	n/a	male | man | old | type-6
129	U+1F475	👵	👵	👵	👵	👵	👵	👵	👵	👵	👵	👵	—	👵	OLDER WOMAN
≊ old woman	2010ʲ	emoji	female | old | woman
130	U+1F475 U+1F3FB	👵🏻	—	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	—	—	—	—	old woman, type-1-2	2015ˣ	n/a	female | old | type-1-2 | woman
131	U+1F475 U+1F3FC	👵🏼	—	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	—	—	—	—	old woman, type-3	2015ˣ	n/a	female | old | type-3 | woman
132	U+1F475 U+1F3FD	👵🏽	—	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	—	—	—	—	old woman, type-4	2015ˣ	n/a	female | old | type-4 | woman
133	U+1F475 U+1F3FE	👵🏾	—	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	—	—	—	—	old woman, type-5	2015ˣ	n/a	female | old | type-5 | woman
134	U+1F475 U+1F3FF	👵🏿	—	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	—	—	—	—	old woman, type-6	2015ˣ	n/a	female | old | type-6 | woman
135	U+1F476	👶	👶	👶	👶	👶	👶	👶	👶	👶	👶	👶	—	👶	BABY	2010ʲ	emoji	baby
136	U+1F476 U+1F3FB	👶🏻	—	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	—	—	—	—	baby, type-1-2	2015ˣ	n/a	baby | type-1-2
